"e_publish_date","closing_date","opening_date","tender_id","tender_url","org_name","corri_gen","emd"
"18-Jul-2023 02:04 PM","25-Jul-2023 03:00 PM","25-Jul-2023 03:30 PM","/85/EE/16/AE-I/KCD-IV/CPWD/2023-24/47940","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1Mzg=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1ODUvRUUvMTYvQUUtSS9LQ0QtSVYvQ1BXRC8yMDIzLTI0A13h1NDc5NDA=","Central Public Works Department (CPWD)","--","None"
"18-Jul-2023 02:01 PM","25-Jul-2023 03:00 PM","25-Jul-2023 03:30 PM","/21/EE/FD/2023-24/47938","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1Mzc=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1MjEvRUUvRkQvMjAyMy0yNA==A13h1NDc5Mzg=","Central Public Works Department (CPWD)","--","None"
"18-Jul-2023 02:00 PM","09-Aug-2023 03:00 PM","10-Aug-2023 03:00 PM","/VSP/WRM/RFx No/2600008408/2023_RINL_719534_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MjM=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1VlNQL1dSTS9SRnggTm8vMjYwMDAwODQwOA==A13h1MjAyM19SSU5MXzcxOTUzNF8x","Rashtriya Ispat Nigam Limited,Visakhapatnam","--","None"
"18-Jul-2023 02:00 PM","25-Jul-2023 03:00 PM","25-Jul-2023 03:30 PM","/40/EE-E/AE-E/GESD-III/2023-24/47934","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MzY=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1NDAvRUUtRS9BRS1FL0dFU0QtSUlJLzIwMjMtMjQ=A13h1NDc5MzQ=","Central Public Works Department (CPWD)","--","None"
"18-Jul-2023 02:00 PM","01-Aug-2023 01:00 PM","02-Aug-2023 03:00 PM","/WAP/INFRA/KERALA/23/PDKD/442-3/2023_WPCOS_719539_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MzM=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1V0FQL0lORlJBL0tFUkFMQS8yMy9QREtELzQ0Mi0zA13h1MjAyM19XUENPU183MTk1MzlfMQ==","WAPCOS Limited","--","None"
"18-Jul-2023 02:00 PM","12-Sep-2023 05:00 PM","12-Sep-2023 06:00 PM","/RFI_VRSIM_DAS_18JUL23/2023_IAF_719521_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA0NDU=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1UkZJX1ZSU0lNX0RBU18xOEpVTDIzA13h1MjAyM19JQUZfNzE5NTIxXzE=","Indian Air Force","--","None"
"18-Jul-2023 02:00 PM","25-Jul-2023 02:00 PM","26-Jul-2023 03:00 PM","/MCD/TR/3543/2023_5_1_1/1/2023_MCD_161426_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA0ODg=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1TUNEL1RSLzM1NDMvMjAyM181XzFfMS8xA13h1MjAyM19NQ0RfMTYxNDI2XzE=","Municipal Corporation of Delhi","--","None"
"18-Jul-2023 02:00 PM","25-Jul-2023 03:00 PM","25-Jul-2023 03:30 PM","/02/NIT/CE-cum-ED/BGPZ/2023-24/47931","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MzU=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1MDIvTklUL0NFLWN1bS1FRC9CR1BaLzIwMjMtMjQ=A13h1NDc5MzE=","Central Public Works Department (CPWD)","--","None"
"18-Jul-2023 02:00 PM","08-Aug-2023 03:00 PM","09-Aug-2023 03:00 PM","/RFX. NO. 2600008403/OT/ACS/2023_RINL_719504_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTAzMjg=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1UkZYLiBOTy4gMjYwMDAwODQwMy9PVC9BQ1M=A13h1MjAyM19SSU5MXzcxOTUwNF8x","Rashtriya Ispat Nigam Limited,Visakhapatnam","--","None"
"18-Jul-2023 02:00 PM","24-Jul-2023 05:00 PM","24-Jul-2023 05:00 PM","/ATM ELECTRICAL WORK AT RAILWAY STAITON BR VARANASI/2023_UBoI_719529_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MjY=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMA==A13h1QVRNIEVMRUNUUklDQUwgV09SSyBBVCBSQUlMV0FZIFNUQUlUT04gQlIgVkFSQU5BU0k=A13h1MjAyM19VQm9JXzcxOTUyOV8x","Union Bank of India","--","None"
"18-Jul-2023 02:00 PM","01-Aug-2023 01:00 PM","02-Aug-2023 03:00 PM","/WAP/INFRA/KERALA/23/PDKD/442-3/2023_WPCOS_719539_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA1MzM=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMg==A13h1V0FQL0lORlJBL0tFUkFMQS8yMy9QREtELzQ0Mi0zA13h1MjAyM19XUENPU183MTk1MzlfMQ==","WAPCOS Limited","--","None"
"18-Jul-2023 02:00 PM","26-Jul-2023 11:00 AM","27-Jul-2023 11:30 AM","/19/CS/23-24/NSG/2023_NSG_762350_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTAxODc=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMg==A13h1MTkvQ1MvMjMtMjQvTlNHA13h1MjAyM19OU0dfNzYyMzUwXzE=","DG,National Security Guard,MHA","--","None"
"18-Jul-2023 02:00 PM","25-Jul-2023 02:00 PM","26-Jul-2023 03:00 PM","/MCD/TR/3543/2023_5_1_1/1/2023_MCD_161426_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTA0ODg=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMg==A13h1TUNEL1RSLzM1NDMvMjAyM181XzFfMS8xA13h1MjAyM19NQ0RfMTYxNDI2XzE=","Municipal Corporation of Delhi","--","None"
"18-Jul-2023 02:00 PM","08-Aug-2023 03:00 PM","09-Aug-2023 03:00 PM","/RFX. NO. 2600008403/OT/ACS/2023_RINL_719504_1","https://eprocure.gov.in/cppp/tendersfullview/MTA5OTAzMjg=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1OGQ2NzAxYTMwZTJhNTIxMGNiNmEwM2EzNmNhYWZhODk=A13h1MTY4OTY2OTMxMg==A13h1UkZYLiBOTy4gMjYwMDAwODQwMy9PVC9BQ1M=A13h1MjAyM19SSU5MXzcxOTUwNF8x","Rashtriya Ispat Nigam Limited,Visakhapatnam","--","None"
