"key","bid","bid_no","ra_no","items","quantity","department","startdate","enddate","document","status"
"GEM/2018/B/10002",70127,"","GEM/2018/B/10002","All in one",3,"Skill Development and Entrepreneurship Department Maharashtra","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70127","Bid Awarded"
"GEM/2018/B/10013",70204,"","GEM/2018/B/10013","End point protection software/ appliances",4,"Department of Industrial Policy and Promotion","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70204","Bid Awarded"
"GEM/2018/B/10027",70302,"","GEM/2018/B/10027","Inverter with sine wave output",1,"Revenue and Forest Department Maharashtra","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70302","Bid Awarded"
"GEM/2018/B/10030",70323,"","GEM/2018/B/10030","Handloom Cotton Turkish, Honeycomb and Huckaback Towels",800,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70323","Bid Awarded"
"GEM/2018/B/10036",70365,"","GEM/2018/B/10036","Inverter with sine wave output",3,"Revenue and Forest Department Maharashtra","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70365","Bid Awarded"
"GEM/2018/B/10041",70400,"","GEM/2018/B/10041","seamless steel tube assembly-TUBULARS AND OTHER WROUGHT STEEL FITTINGS, RISER PIPE",20,"Public Health Engineering Department Chhattisgarh","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70400","Bid Awarded"
"GEM/2018/B/10048",70449,"","GEM/2018/B/10048","Desktops",38,"NA","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70449","Bid Awarded"
"GEM/2018/B/10050",70463,"","GEM/2018/B/10050","Human Resource Service",14,"Department of Revenue","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/70463","Bid Awarded"
"GEM/2018/B/10051",70470,"","GEM/2018/B/10051","domestic pressure cookers",10,"Central Armed Police Forces","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70470","Bid Awarded"
"GEM/2018/B/10052",70477,"","GEM/2018/B/10052","almirah- Steel",8,"NA","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/70477","Bid Awarded"
"GEM/2018/B/10058",70519,"","GEM/2018/B/10058","Layer 2 Access Switch",3,"Central Armed Police Forces","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/70519","Bid Awarded"
"GEM/2018/B/10060",70533,"","GEM/2018/B/10060","domestic pressure cookers",18,"Central Armed Police Forces","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70533","Bid Awarded"
"GEM/2018/B/10069",70596,"","GEM/2018/B/10069","Multifunction Machines",5,"Education Department Gujarat","2018-05-08","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/70596","Bid Awarded"
"GEM/2018/B/10072",70617,"","GEM/2018/B/10072","Potable water purification system",10,"NA","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70617","Bid Awarded"
"GEM/2018/B/10073",70624,"","GEM/2018/B/10073"," chairs-office",67,"Central Police Organisation","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/70624","Bid Awarded"
"GEM/2018/B/10076",70645,"","GEM/2018/B/10076","Human Resource Service",14,"Department of Revenue","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/70645","Bid Awarded"
"GEM/2018/B/10078",70659,"","GEM/2018/B/10078","Digital Storage Oscilloscope",1,"NA","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70659","Bid Awarded"
"GEM/2018/B/10080",70673,"","GEM/2018/B/10080","automatic line voltage corrector or step type auto transformer",30,"Revenue and Disaster Management Department Odisha","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70673","Bid Awarded"
"GEM/2018/B/10090",70743,"","GEM/2018/B/10090","fire hoses or nozzles",12,"Central Armed Police Forces","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/70743","Bid Awarded"
"GEM/2018/B/10092",70757,"","GEM/2018/B/10092","Tablet Based Biometric Attendance System",15,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70757","Bid Awarded"
"GEM/2018/B/10101",70820,"","GEM/2018/B/10101","All in one",1,"NA","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70820","Bid Awarded"
"GEM/2018/B/10106",70855,"","GEM/2018/B/10106","watermist and caf fire extinguisher high pressure trolley mounted",21,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70855","Bid Awarded"
"GEM/2018/B/10111",70890,"","GEM/2018/B/10111","Air Conditioner",2,"Central Armed Police Forces","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70890","Bid Awarded"
"GEM/2018/B/10116",70925,"","GEM/2018/B/10116","power cable for direct burial xlpe ugac cable",200,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70925","Bid Awarded"
"GEM/2018/B/10117",70932,"","GEM/2018/B/10117","Lamp Ballast  for HPSV Lamps",80,"Central Armed Police Forces","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70932","Bid Awarded"
"GEM/2018/B/10119",70946,"","GEM/2018/B/10119","Air Conditioner",10,"Medical Education Department Uttar Pradesh","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/70946","Bid Awarded"
