"key","bid","bid_no","ra_no","items","quantity","department","startdate","enddate","document","status"
"GEM/2018/B/10000",70113,"","GEM/2018/B/10000","Air Conditioner",2,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70113","Financial Evaluated"
"GEM/2018/B/10018",70239,"","GEM/2018/B/10018","lead acid battery",200,"Department of Defence Production and Supply","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70239","Financial Evaluated"
"GEM/2018/B/10021",70260,"","GEM/2018/B/10021","Air Conditioner",2,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70260","Financial Evaluated"
"GEM/2018/B/10042",70407,"","GEM/2018/B/10042","Desktops",6,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70407","Financial Evaluated"
"GEM/2018/B/10049",70456,"","GEM/2018/B/10049","Air Conditioner",6,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70456","Financial Evaluated"
"GEM/2018/B/10109",70876,"","GEM/2018/B/10109","HDPE life boat for rescue (14SEATER) as per GSDRF specification",15,"Revenue Department Gujarat","2018-05-08","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/70876","Financial Evaluated"
"GEM/2018/B/1011",7176,"","GEM/2018/B/1011","Notebook Computers-laptop",1,"Comptroller and Auditor General (CAG) of India","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7176","Financial Evaluated"
"GEM/2018/B/1012",7183,"","GEM/2018/B/1012","Notebook Computers-laptop",1,"Department of Home","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7183","Financial Evaluated"
"GEM/2018/B/10133",71044,"","GEM/2018/B/10133","portable hard disk",6,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71044","Financial Evaluated"
"GEM/2018/B/10138",71079,"","GEM/2018/B/10138","telecommunication cable",1900,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71079","Financial Evaluated"
"GEM/2018/B/1014",7197,"","GEM/2018/B/1014","Air Conditioner",21,"ODISHA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7197","Financial Evaluated"
"GEM/2018/B/10148",71149,"","GEM/2018/B/10148","Layer 2 Access Switch",18,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71149","Financial Evaluated"
"GEM/2018/B/10153",71184,"","GEM/2018/B/10153","connector mounting hardware-multi plug",1800,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71184","Financial Evaluated"
"GEM/2018/B/10159",71226,"","GEM/2018/B/10159","HDPE life boat for rescue (8 SEATER) as per GSDRF specification",73,"Revenue Department Gujarat","2018-05-08","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/71226","Financial Evaluated"
"GEM/2018/B/10164",71261,"","GEM/2018/B/10164","High Speed Rescue Raft and Pantoon( Inflatable rescue boat ) as per GSDRF specification",63,"Revenue Department Gujarat","2018-05-08","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/71261","Financial Evaluated"
"GEM/2018/B/10193",71464,"","GEM/2018/B/10193","Wireless Access Point",5,"Higher and Technical Education Department Maharashtra","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71464","Financial Evaluated"
