key,bid,bid_no,ra_no,items,quantity,department,startdate,enddate,document,status
GEM/2023/B/3639095,4974458,,GEM/2023/B/3639095,"Lock,Glassfordscveh2x2withalumuniumfrem,Dinningtable3x3,Dinningchair,Pegtable,Tvstand55inch,Briefca",42,Department of Military Affairs,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4974458,Technical Evaluated
GEM/2023/B/3639082,4974444,,GEM/2023/B/3639082,"Cutting Disc 4 inch,Iron Pipe,PTZ Camera,Tenda Switch 8 Port,Green Plastic Jali,16 Port DVR,Iron An",43,Department of Military Affairs,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4974444,Technical Evaluated
GEM/2023/B/3637814,4973029,,GEM/2023/B/3637814,"Muffler box assy,Accelerator cable assy,Controller fuel injection,Relay main and fuel,Valve relay a",10,Department of Military Affairs,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4973029,Technical Evaluated
GEM/2023/B/3619959,4953653,,GEM/2023/B/3619959,Operation And Maintenance Of Fire Fighting System - Complete System,1,NA,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4953653,Technical Evaluated
GEM/2023/B/3599106,4931025,,GEM/2023/B/3599106,CALIBRATION OF IFR 4000 RAMP TEST KIT,1,Department of Defence,26-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4931025,Technical Evaluated
GEM/2023/B/3584371,4915063,,GEM/2023/B/3584371,Custom Bid for Services - CMC for GCQTOF,1,Agriculture and Co-operation Department Gujarat,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4915063,Technical Evaluated
GEM/2023/B/3672294,5010642,,GEM/2023/B/3672294,Hessian Sand Bags as per IS 9685,15000,Department of Military Affairs,10-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/5010642,Technical Evaluated
GEM/2023/B/3638383,4973678,,GEM/2023/B/3638383,Off - Grid Solar Photovoltaic (PV) Power Plant,30,Unnao,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4973678,Technical Evaluated
GEM/2023/B/3637861,4973080,,GEM/2023/B/3637861,Custom Bid for Services - ----,1,Health & Family Welfare Department Bihar,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4973080,Technical Evaluated
GEM/2023/B/3637744,4972951,,GEM/2023/B/3637744,Custom Bid for Services - ----,1,Health & Family Welfare Department Bihar,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4972951,Technical Evaluated
